ttnumber,Action,Adventure,Animation,Comedy,Crime,Horror,Documentary,Biography,Drama,Romance,Sci-Fi,Thriller,Family,Fantasy,History,Mystery,Sport,Music,gross
tt0427229,0.0,0.0,0.0,110045925.328,0.0,0.0,0.0,0.0,0.0,104230518.772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117293673.0
tt0282687,0.0,0.0,0.0,36669158.4949,0.0,0.0,0.0,0.0,0.0,39395653.3953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21536106.0
tt0335245,0.0,0.0,0.0,69760254.9006,60540245.2948,0.0,0.0,0.0,0.0,0.0,0.0,59634812.2888,0.0,0.0,0.0,0.0,0.0,0.0,34493482.0
tt1837703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8035811.50148,14031168.4332,0.0,0.0,11391323.9223,0.0,0.0,0.0,0.0,0.0,0.0,3466313.0
tt0180052,28366331.0036,0.0,0.0,43821203.1843,0.0,0.0,0.0,0.0,0.0,0.0,12592771.7859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6588277.0
tt1075747,15526832.5784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25394201.6891,0.0,0.0,0.0,0.0,19466547.331,0.0,0.0,0.0,0.0,28605752.0
tt0462538,0.0,264956774.673,310608276.461,311824773.921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42450571.0
tt1600195,28654638.6803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31852241.0176,0.0,0.0,0.0,30764063.1983,0.0,0.0,42083860.0
tt1126618,0.0,0.0,0.0,35876960.3272,0.0,0.0,0.0,0.0,35697143.9165,37749028.1677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103418990.0
tt0368891,155003784.488,166118948.616,0.0,184640730.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10720216.0
tt0275491,0.0,0.0,0.0,0.0,11453521.086,0.0,0.0,0.0,14517889.3199,0.0,0.0,0.0,0.0,0.0,0.0,13066769.5876,0.0,0.0,16102024.0
tt0208874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34992683.0997,0.0,0.0,31889235.3486,0.0,0.0,0.0,0.0,0.0,0.0,6568847.0
tt0120804,77422849.1338,0.0,0.0,0.0,0.0,71639738.572,0.0,0.0,0.0,0.0,72655817.1271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38390985.0
tt0464154,0.0,0.0,0.0,34835929.9334,0.0,26863976.9717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24913450.0
tt1517489,28045987.2705,32990409.0881,0.0,34011463.384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111190510.0
tt0442933,120616103.272,140176212.777,163361774.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133726525.0
tt0265459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19745313.8914,0.0,0.0,16012654.7188,0.0,0.0,0.0,0.0,0.0,0.0,78638891.0
tt1509767,29678827.7388,42143047.5498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43635986.5239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348395648.0
tt0482463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16170873.1877,19122722.5302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9737087.0
tt0247586,0.0,0.0,0.0,0.0,10016190.5163,0.0,0.0,0.0,12213853.6552,0.0,0.0,11805955.378,0.0,0.0,0.0,0.0,0.0,0.0,239906510.0
tt1045655,0.0,0.0,0.0,0.0,0.0,8931021.60606,0.0,0.0,9193788.69985,0.0,0.0,12814425.3588,0.0,0.0,0.0,0.0,0.0,0.0,43404322.0
